"date","count"
"2016-04-17 00:00:00+00",90642
"2016-04-18 00:00:00+00",92941
"2016-04-19 00:00:00+00",86482
"2016-04-20 00:00:00+00",94590
"2016-04-21 00:00:00+00",94140
"2016-04-22 00:00:00+00",89642
"2016-04-23 00:00:00+00",60644
"2016-04-24 00:00:00+00",94801
"2016-04-25 00:00:00+00",94932
"2016-04-26 00:00:00+00",93034
"2016-04-27 00:00:00+00",85702
"2016-04-28 00:00:00+00",97481
"2016-04-29 00:00:00+00",98198
"2016-04-30 00:00:00+00",95988
"2016-05-01 00:00:00+00",93747
"2016-05-02 00:00:00+00",94735
"2016-05-03 00:00:00+00",94254
"2016-05-04 00:00:00+00",94887
"2016-05-05 00:00:00+00",97173
"2016-05-06 00:00:00+00",97682
"2016-05-07 00:00:00+00",97877
"2016-05-08 00:00:00+00",85329
"2016-05-09 00:00:00+00",96897
"2016-05-10 00:00:00+00",97324
"2016-05-11 00:00:00+00",94251
"2016-05-12 00:00:00+00",94014
"2016-05-13 00:00:00+00",96392
"2016-05-14 00:00:00+00",97777
"2016-05-15 00:00:00+00",96592
"2016-05-16 00:00:00+00",96748
"2016-05-17 00:00:00+00",98108
"2016-05-18 00:00:00+00",97863
"2016-05-19 00:00:00+00",95196
"2016-05-20 00:00:00+00",97717
"2016-05-21 00:00:00+00",97314
"2016-05-22 00:00:00+00",94194
"2016-05-23 00:00:00+00",96420
"2016-05-24 00:00:00+00",94360
"2016-05-25 00:00:00+00",97269
"2016-05-26 00:00:00+00",66354
